Date,Name,Year,Letterboxd URI,Rating
2020-07-08,Ghost in the Shell,1995,https://boxd.it/1YYc,3
2020-07-08,Blonde and Blonder,2008,https://boxd.it/1X2G,0.5
2020-07-08,The Incredible Hulk,2008,https://boxd.it/28dU,1.5
2020-07-08,Parasite,2019,https://boxd.it/hTha,4.5
2020-07-08,The Social Network,2010,https://boxd.it/17ue,5
2020-07-08,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2020-07-08,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2020-07-08,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3
2020-07-08,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2020-07-08,Deadpool,2016,https://boxd.it/9fOC,3
2020-07-08,Valentine's Day,2010,https://boxd.it/1gui,2
2020-07-09,Made of Honor,2008,https://boxd.it/1VsC,2
2020-07-11,Ivory Tower,2014,https://boxd.it/7lcK,3
2020-07-11,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,4
2020-07-12,The Platform,2019,https://boxd.it/mUm6,2.5
2020-07-13,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2020-07-15,Hustlers,2019,https://boxd.it/jIBM,2
2020-07-19,Ralph Breaks the Internet,2018,https://boxd.it/edAy,1.5
2020-07-20,WALL·E,2008,https://boxd.it/1VEo,4.5
2020-07-20,Up,2009,https://boxd.it/1OEc,3.5
2020-07-21,The Vast of Night,2019,https://boxd.it/kJyc,3.5
2020-07-21,Forrest Gump,1994,https://boxd.it/728,4.5
2020-07-23,Drive,2011,https://boxd.it/IG,5
2020-07-23,Psycho,1960,https://boxd.it/2ab2,4.5
2020-07-24,Battle of the Sexes,2017,https://boxd.it/cNxw,3
2020-07-24,Movie 43,2013,https://boxd.it/37qK,0.5
2020-07-24,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2020-07-24,Blade Runner,1982,https://boxd.it/2bcA,4
2020-07-25,Suicide Squad,2016,https://boxd.it/9row,1
2020-07-25,mid90s,2018,https://boxd.it/fxIa,3.5
2020-07-25,Bacurau,2019,https://boxd.it/fSUG,3.5
2020-07-25,City of God,2002,https://boxd.it/2a2a,4.5
2020-07-25,The Bourne Identity,2002,https://boxd.it/26EO,3.5
2020-07-25,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4
2020-07-26,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,1
2020-07-26,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,2
2020-07-26,The Maze Runner,2014,https://boxd.it/5YPM,3
2020-07-26,The Martian,2015,https://boxd.it/8SeG,3
2020-07-26,Upgrade,2018,https://boxd.it/i4gW,3.5
2020-07-26,At Eternity's Gate,2018,https://boxd.it/hI40,3
2020-07-27,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2020-07-27,Searching,2018,https://boxd.it/hDPg,4
2020-07-27,Paper Man,2009,https://boxd.it/13Ju,3.5
2020-07-27,Unfriended,2014,https://boxd.it/8sXg,1
2020-07-28,The Report,2019,https://boxd.it/j2X2,3.5
2020-07-28,Airplane!,1980,https://boxd.it/29yu,4
2020-07-28,The Big Lebowski,1998,https://boxd.it/2b6C,4
2020-07-29,Suspiria,2018,https://boxd.it/cioI,3.5
2020-07-29,Unsane,2018,https://boxd.it/gKrS,3
2020-07-29,Too Old to Die Young,2019,https://boxd.it/mwtW,4.5
2020-07-31,Phantom Thread,2017,https://boxd.it/e4uc,4.5
2020-07-31,Focus,2015,https://boxd.it/7zl2,1.5
2020-07-31,Logan,2017,https://boxd.it/7Piy,3.5
2020-07-31,The Irishman,2019,https://boxd.it/dYOq,4
2020-07-31,Spider-Man: Far from Home,2019,https://boxd.it/fegG,3
