Date,Name,Year,Letterboxd URI,Rating
2020-06-28,Knives Out,2019,https://boxd.it/jWEA,4
2020-06-28,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2020-06-28,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4
2020-06-28,Spirited Away,2001,https://boxd.it/2b4m,4.5
2020-06-28,The Dark Knight,2008,https://boxd.it/2b0k,4
2020-06-28,Get Out,2017,https://boxd.it/eOCm,4
2020-06-28,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2020-06-28,Her,2013,https://boxd.it/4O24,4
2020-06-28,Interstellar,2014,https://boxd.it/4VZ8,3.5
2020-06-28,Whiplash,2014,https://boxd.it/7bQA,5
2020-06-28,The Social Network,2010,https://boxd.it/17ue,5
2020-06-28,Django Unchained,2012,https://boxd.it/2cCk,4
2020-06-28,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2020-06-28,The Godfather,1972,https://boxd.it/2aNK,4.5
2020-06-28,The Handmaiden,2016,https://boxd.it/948A,5
2020-06-28,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2020-06-28,Forrest Gump,1994,https://boxd.it/728,4
2020-06-28,The Matrix,1999,https://boxd.it/2a1m,4
2020-06-28,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
2020-06-28,Black Panther,2018,https://boxd.it/8MHs,3.5
2020-06-28,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2020-06-28,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3.5
2020-06-28,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2020-06-28,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3.5
2020-06-28,Logan,2017,https://boxd.it/7Piy,3.5
2020-06-28,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1.5
2020-06-28,The Hateful Eight,2015,https://boxd.it/8gw8,4
2020-06-28,Room,2015,https://boxd.it/7T0y,4
2020-06-28,Zootopia,2016,https://boxd.it/84xS,3.5
2020-06-28,Moana,2016,https://boxd.it/8tfY,4
2020-06-28,Spotlight,2015,https://boxd.it/a84k,3.5
2020-06-28,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,3.5
2020-06-28,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4
2020-06-28,Gladiator,2000,https://boxd.it/2b9m,3.5
2020-06-28,Deadpool,2016,https://boxd.it/9fOC,3
2020-06-28,The Incredibles,2004,https://boxd.it/1XLm,4
2020-06-28,Incredibles 2,2018,https://boxd.it/7IPg,4
2020-06-28,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,2.5
2020-06-28,Brave,2012,https://boxd.it/bVG,2
2020-06-28,The Little Mermaid,1989,https://boxd.it/1WYO,3.5
2020-06-28,Treasure Planet,2002,https://boxd.it/1Znm,3.5
2020-06-28,The Shape of Water,2017,https://boxd.it/dZ5m,4
2020-06-28,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2020-06-28,The Lion King,1994,https://boxd.it/201Q,4
2020-06-28,Pan's Labyrinth,2006,https://boxd.it/28No,4.5
2020-06-28,Schindler's List,1993,https://boxd.it/2aq2,4.5
2020-06-28,A Ghost Story,2017,https://boxd.it/fb0K,4.5
2020-06-29,Gravity,2013,https://boxd.it/GZY,3
2020-06-29,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,3
2020-06-29,Darkest Hour,2017,https://boxd.it/dZZa,3.5
2020-06-29,Fury,2014,https://boxd.it/6JwC,3.5
